RegionID,RegionName,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28
118208,South Los Angeles,676607.3022654265,668314.5634326778,661008.1864608431,656204.8212441137,655281.7206448301,656757.6587492776,659725.0661461477,661891.3419761233,663037.727447805,664756.8326401048,664948.8376420232,664064.7045554584
46795,North Hollywood,854251.3478842918,849000.4791318969,844286.3838209851,839960.5171012431,837884.9726979936,838220.741523032,841343.4177420294,845943.7204105692,850663.707493579,855358.6599363418,856892.6089543115,855984.5630270801
113886,Boyle Heights,654129.3131647715,647116.6478033633,641760.8139607898,638189.3500150085,637145.4522053017,637810.9259388989,640042.0279883273,642710.7170582135,644408.7524791261,645600.0952079844,643884.6857071618,640519.394163635
27080,Sherman Oaks,1313622.0212240757,1308713.4572404108,1304313.2268398034,1297627.7769251058,1293695.2864805867,1291854.790329246,1297546.342617435,1306679.8942885594,1318938.0054233924,1331357.4588378472,1338828.53778816,1341177.0612349815
268236,Koreatown,808837.7830644964,803173.0850098537,794883.0778877494,787153.6501585338,781950.720813966,779539.1546823712,777954.9606747482,775142.7015859796,771472.0482781375,768464.3161044661,766244.741491163,764041.2175239247
115609,Highland Park,1022820.6601136448,1012802.620316538,1004883.4636686384,1001798.0956253308,1002098.1136227888,1005196.0727243494,1011840.6472258326,1022139.9166731066,1035174.1638271804,1047744.5721702374,1053553.3685941184,1053386.9186094457
51906,Encino,1432603.1910616625,1425534.8507403943,1419555.4268748665,1409888.925153862,1404891.4495749343,1401851.3695534896,1406375.402380396,1409875.949872285,1416635.20654267,1423956.4361120814,1428289.026490888,1427847.2681751605
114914,El Sereno,775615.4809791198,766536.0059586373,757558.5910666237,751676.7518490237,749340.4705485264,751577.2582373922,755651.5447976515,758975.0330375582,760140.5695696793,761754.2587838747,761364.4904455991,759138.4125829655
47880,Studio City,1537167.2296534956,1530572.0789761543,1524930.8602782246,1516716.296336413,1512020.060826538,1509400.812527931,1515345.961215298,1526700.950315343,1541293.960750778,1557015.4618831596,1565185.1108202476,1567144.2424849663
7877,Westchester,1407831.078257762,1405617.9499244755,1405204.3335922535,1403468.0257303698,1403808.4274649734,1407086.1780273924,1417682.1797763708,1430725.4904886829,1443709.1581704698,1455132.334068905,1457699.9423069935,1455257.7547740338
268473,Silver Lake,1410996.7124418523,1403637.063594098,1396021.985852586,1387566.0850559843,1381576.769221666,1380870.6015458505,1386047.151616583,1392976.1383087824,1401937.5889099713,1411429.567360121,1416407.9694897917,1417136.090999806
114808,Eagle Rock,1259853.0095394163,1250825.4066551914,1242358.0917542798,1233811.279364037,1230331.41351576,1230613.070953723,1235437.2539392198,1241305.4840241622,1248922.3950862505,1256601.4120265413,1258190.7539046414,1257219.205553823
21056,Venice,1790923.227201729,1778711.4732499935,1761367.9029380989,1741766.0065542802,1732896.0045081128,1736182.4320368469,1750014.2237363209,1767424.1554174188,1783002.967293301,1797346.215253311,1802132.4664961305,1801294.8620095607
268134,Echo Park,1048600.5886057273,1039919.5779675768,1030851.3471083222,1023020.8019719218,1017944.7410761388,1017771.6001311332,1021083.7180379358,1026889.1285116904,1036897.1213912616,1048800.037909111,1055335.981655584,1053903.6591089268
19810,Pacific Palisades,3352942.6246835184,3339820.6454027887,3315384.1568571907,3268062.0082886596,3221341.6872070283,3169374.648052922,3131057.0267888405,3100876.968708391,3088731.115469184,3088477.929864733,3077077.248962373,3050314.843982855
268404,Pico-Union,690209.2616131278,678673.0072051759,670156.7188683326,665779.7434242166,665677.6300684075,669017.8967228109,672447.1233773585,675766.5634618535,677469.4853638029,680173.1907020959,680643.2984149647,678221.4247055053
403142,Cheviot Hills,2363922.296364043,2350973.189367162,2333485.0955327037,2310729.208333582,2294655.659888715,2287951.0052472036,2298656.7953448524,2312301.6153306463,2333075.771089929,2357694.2390846605,2369645.083126566,2371158.0725644506
268010,Atwater Village,1280885.4241161284,1275222.714291483,1267543.719275249,1259722.4815994534,1253160.244734226,1248850.397518876,1250713.4653869567,1255220.5365030486,1263343.65331552,1273784.8694141873,1280166.0030300645,1280270.0336914258
113749,Beverly Crest,2653337.4535962176,2635622.169811744,2621700.2065565996,2600524.9261475173,2585794.350290911,2573142.5698316726,2581755.9285553196,2598432.1570941387,2631184.7738759755,2667492.7439923217,2690269.8389800848,2694794.133602195
113688,Bel Air,3948856.372085452,3940709.004038658,3922461.858784916,3883430.408337197,3852759.032364767,3834134.562741036,3848458.229621935,3868850.694753431,3906684.017442808,3954734.539518904,3997598.2719359505,4021065.130653783
