episode_name_number,episode,imdb_rating,season,season_ep_name
S1.E1 ∙ It's About Time,1,8.9,1,S1.E1: It's About Time
S1.E2 ∙ Here Goes Nothing,2,8.4,1,S1.E2: Here Goes Nothing
S1.E3 ∙ Who You Calling Ugly?,3,8.1,1,S1.E3: Who You Calling Ugly?
"S1.E4 ∙ Neil Armstrong, Eat Your Heart Out",4,7.7,1,"S1.E4: Neil Armstrong, Eat Your Heart Out"
S1.E5 ∙ That Actually Hurt,5,9.1,1,S1.E5: That Actually Hurt
S1.E6 ∙ You Look Kinda Dead,6,7.6,1,S1.E6: You Look Kinda Dead
S1.E7 ∙ We Need to Talk,7,9.5,1,S1.E7: We Need to Talk
S1.E8 ∙ Where I Really Come From,8,9.7,1,S1.E8: Where I Really Come From
S2.E1 ∙ A Lesson for Your Next Life,1,8.1,2,S2.E1: A Lesson for Your Next Life
S2.E2 ∙ In About Six Hours I Lose My Virginity to a Fish,2,7.3,2,S2.E2: In About Six Hours I Lose My Virginity to a Fish
"S2.E3 ∙ This Missive, This Machination!",3,8.2,2,"S2.E3: This Missive, This Machination!"
S2.E4 ∙ It's Been a While,4,9.1,2,S2.E4: It's Been a While
S2.E5 ∙ This Must Come as a Shock,5,8.7,2,S2.E5: This Must Come as a Shock
S2.E6 ∙ It's Not That Simple,6,7.9,2,S2.E6: It's Not That Simple
S2.E7 ∙ I'm Not Going Anywhere,7,8.7,2,S2.E7: I'm Not Going Anywhere
S2.E8 ∙ I Thought You Were Stronger,8,9,2,S2.E8: I Thought You Were Stronger
