player_id,player,country,age,fivb_played,fivb_1st,fivb_2nd,fivb_3rd,fivb_4th,fivb_5th,fivb_9th,fivb_other,fivb_money,podium_rate,gold_rate,top5_rate,rating,win_prob,podium_prob
14741,Anders Mol,Norway,28,81,30,7,11,3,12,9,9,937085,0.5925925925925926,0.37037037037037035,0.7777777777777778,56.2,0.17081305276692296,0.5978456846842304
17928,David Åhman,Sweden,24,56,17,6,4,3,9,6,11,421401,0.48214285714285715,0.30357142857142855,0.6964285714285714,48.8,0.1042963500276319,0.3128890500828957
18278,Jonatan Hellvig,Sweden,24,54,16,6,4,3,9,6,10,402149,0.48148148148148145,0.2962962962962963,0.7037037037037037,48.7,0.10360335358225065,0.31081006074675194
13274,Christian Sorum,Norway,30,97,29,7,11,3,14,11,22,945782,0.4845360824742268,0.29896907216494845,0.6597938144329897,46.9,0.09188793160453176,0.27566379481359526
20306,Elmer Andersson,Sweden,21,21,6,3,1,0,4,1,6,105431,0.47619047619047616,0.2857142857142857,0.6666666666666666,46.8,0.09127738281774761,0.27383214845324283
5214,Phil Dalhausser,USA,46,200,38,20,18,12,30,30,52,1800000,0.38,0.19,0.59,38.4,0.05213846838989554,0.1564154051696866
18616,Stefan Boermans,Netherlands,31,35,3,2,8,3,7,5,7,220986,0.37142857142857144,0.08571428571428572,0.6571428571428571,33.8,0.038368482964386365,0.1151054488931591
17881,Yorick de Groot,Netherlands,25,35,3,2,8,3,7,5,7,201138,0.37142857142857144,0.08571428571428572,0.6571428571428571,33.8,0.038368482964386365,0.1151054488931591
17592,Nils Ehlers,Germany,32,50,5,5,5,3,10,10,12,285000,0.3,0.1,0.56,31.6,0.03313432319956406,0.08283580799891015
15097,Cherif Younousse,Qatar,30,74,8,7,6,2,18,16,17,388100,0.28378378378378377,0.10810810810810811,0.5540540540540541,31.1,0.0320480508771928,0.080120127192982
15096,Ahmed Tijan,Qatar,30,74,8,7,6,2,18,16,17,388100,0.28378378378378377,0.10810810810810811,0.5540540540540541,31.1,0.0320480508771928,0.080120127192982
13393,Ondrej Perusic,Czechia,31,73,9,8,3,2,14,16,21,353546,0.273972602739726,0.1232876712328767,0.4931506849315068,30.6,0.03099739079748735,0.07749347699371838
16538,David Schweiner,Czechia,31,73,9,8,3,2,14,16,21,353546,0.273972602739726,0.1232876712328767,0.4931506849315068,30.6,0.03099739079748735,0.07749347699371838
13767,Clemens Wickler,Germany,30,55,5,5,5,4,10,12,14,290000,0.2727272727272727,0.09090909090909091,0.5272727272727272,29.8,0.0293875084024848,0.07346877100621199
17561,Miles Partain,USA,24,29,3,1,2,1,8,9,5,111500,0.20689655172413793,0.10344827586206896,0.5172413793103449,27.8,0.025719163267005123,0.06429790816751281
18352,Andy Benesh,USA,31,29,3,1,2,1,8,9,5,100000,0.20689655172413793,0.10344827586206896,0.5172413793103449,27.8,0.025719163267005123,0.06429790816751281
15323,Arthur Lanci,Brazil,30,63,6,4,5,4,12,15,17,203219,0.23809523809523808,0.09523809523809523,0.49206349206349204,27.8,0.025719163267005123,0.06429790816751281
11854,Evandro Goncalves,Brazil,35,141,11,8,12,8,26,30,46,790900,0.2198581560283688,0.07801418439716312,0.46099290780141844,25.4,0.021916425235386342,0.054791063088465854
13453,Trevor Crabb,USA,36,48,1,1,4,2,5,12,23,135000,0.125,0.020833333333333332,0.2708333333333333,15.2,0.01110323343615674,0.02220646687231348
13454,Taylor Crabb,USA,34,57,1,0,3,3,9,19,22,168275,0.07017543859649122,0.017543859649122806,0.2807017543859649,14.3,0.010456631458279188,0.020913262916558376
