player_id,fivb_played,fivb_1st,fivb_2nd,fivb_3rd,fivb_4th,fivb_5th,fivb_9th,fivb_other,fivb_money,player,country,age
14741,81,30,7,11,3,12,9,9,937085,Anders Mol,Norway,28
13274,97,29,7,11,3,14,11,22,945782,Christian Sorum,Norway,30
17928,56,17,6,4,3,9,6,11,421401,David Åhman,Sweden,24
18278,54,16,6,4,3,9,6,10,402149,Jonatan Hellvig,Sweden,24
17561,29,3,1,2,1,8,9,5,111500,Miles Partain,USA,24
13454,57,1,0,3,3,9,19,22,168275,Taylor Crabb,USA,34
18352,29,3,1,2,1,8,9,5,100000,Andy Benesh,USA,31
13453,48,1,1,4,2,5,12,23,135000,Trevor Crabb,USA,36
13393,73,9,8,3,2,14,16,21,353546,Ondrej Perusic,Czechia,31
16538,73,9,8,3,2,14,16,21,353546,David Schweiner,Czechia,31
17592,50,5,5,5,3,10,10,12,285000,Nils Ehlers,Germany,32
13767,55,5,5,5,4,10,12,14,290000,Clemens Wickler,Germany,30
15097,74,8,7,6,2,18,16,17,388100,Cherif Younousse,Qatar,30
15096,74,8,7,6,2,18,16,17,388100,Ahmed Tijan,Qatar,30
18616,35,3,2,8,3,7,5,7,220986,Stefan Boermans,Netherlands,31
17881,35,3,2,8,3,7,5,7,201138,Yorick de Groot,Netherlands,25
11854,141,11,8,12,8,26,30,46,790900,Evandro Goncalves,Brazil,35
15323,63,6,4,5,4,12,15,17,203219,Arthur Lanci,Brazil,30
20306,21,6,3,1,0,4,1,6,105431,Elmer Andersson,Sweden,21
5214,200,38,20,18,12,30,30,52,1800000,Phil Dalhausser,USA,46
