year,champion,champion_short
2005,Pepperdine University,Pepperdine
2006,UCLA,UCLA
2007,UC Irvine,UC Irvine
2008,Penn State University,Penn State
2009,UC Irvine,UC Irvine
2010,Stanford University,Stanford
2011,Ohio State University,Ohio State
2012,UC Irvine,UC Irvine
2013,UC Irvine,UC Irvine
2014,Loyola University Chicago,Loyola Chicago
2015,Loyola University Chicago,Loyola Chicago
2016,Ohio State University,Ohio State
2017,Ohio State University,Ohio State
2018,Long Beach State University,Long Beach State
2019,Long Beach State University,Long Beach State
2020,NA,Canceled (COVID-19)
2021,University of Hawai'i,Hawai'i
2022,University of Hawai'i,Hawai'i
2023,UCLA,UCLA
2024,UCLA,UCLA
2025,Long Beach State University,Long Beach State
